"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"56","5.287839","192.168.1.122","130.192.1.34","TCP","66","64158  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"57","5.312331","130.192.1.34","192.168.1.122","TCP","66","80  >  64158 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"58","5.312566","192.168.1.122","130.192.1.34","TCP","54","64158  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"59","5.320463","192.168.1.122","130.192.1.34","HTTP","225","GET /~lioy/01nbe/lab2/test10k.dat HTTP/1.1 ","513"
"60","5.345366","130.192.1.34","192.168.1.122","TCP","60","80  >  64158 [ACK] Seq=1 Ack=172 Win=30336 Len=0","237"
"61","5.345366","130.192.1.34","192.168.1.122","HTTP","455","HTTP/1.1 301 Moved Permanently  (text/html)","237"
"62","5.384993","192.168.1.122","130.192.1.34","TCP","66","64159  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"63","5.391599","192.168.1.122","130.192.1.34","TCP","54","64158  >  80 [ACK] Seq=172 Ack=402 Win=130816 Len=0","511"
"64","5.400419","130.192.1.34","192.168.1.122","TCP","66","443  >  64159 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"65","5.400602","192.168.1.122","130.192.1.34","TCP","54","64159  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"66","5.405474","192.168.1.122","130.192.1.34","TLSv1.2","462","Client Hello","513"
"67","5.420368","130.192.1.34","192.168.1.122","TCP","60","443  >  64159 [ACK] Seq=1 Ack=409 Win=30336 Len=0","237"
"68","5.422317","130.192.1.34","192.168.1.122","TLSv1.2","1514","Server Hello","237"
"69","5.422317","130.192.1.34","192.168.1.122","TCP","1514","443  >  64159 [ACK] Seq=1461 Ack=409 Win=30336 Len=1460 [TCP segment of a reassembled PDU]","237"
"70","5.422317","130.192.1.34","192.168.1.122","TLSv1.2","568","Certificate, Server Key Exchange, Server Hello Done","237"
"71","5.422568","192.168.1.122","130.192.1.34","TCP","54","64159  >  443 [ACK] Seq=409 Ack=3435 Win=131328 Len=0","513"
"72","5.425191","192.168.1.122","130.192.1.34","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","513"
"73","5.437827","130.192.1.34","192.168.1.122","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","237"
"74","5.438600","192.168.1.122","130.192.1.34","TLSv1.2","254","Application Data","513"
"75","5.453668","130.192.1.34","192.168.1.122","TCP","1514","443  >  64159 [ACK] Seq=3486 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"76","5.453668","130.192.1.34","192.168.1.122","TCP","1514","443  >  64159 [ACK] Seq=4946 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"77","5.453668","130.192.1.34","192.168.1.122","TLSv1.2","1370","Application Data","245"
"78","5.453668","130.192.1.34","192.168.1.122","TCP","1514","443  >  64159 [ACK] Seq=7722 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"79","5.453985","192.168.1.122","130.192.1.34","TCP","54","64159  >  443 [ACK] Seq=735 Ack=9182 Win=131328 Len=0","513"
"80","5.456031","130.192.1.34","192.168.1.122","TCP","1514","443  >  64159 [ACK] Seq=9182 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"81","5.456031","130.192.1.34","192.168.1.122","TLSv1.2","1259","Application Data","245"
"82","5.456031","130.192.1.34","192.168.1.122","TCP","1514","443  >  64159 [ACK] Seq=11847 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"83","5.456031","130.192.1.34","192.168.1.122","TLSv1.2","915","Application Data","245"
"84","5.456309","192.168.1.122","130.192.1.34","TCP","54","64159  >  443 [ACK] Seq=735 Ack=14168 Win=131328 Len=0","513"
"85","5.458413","192.168.1.122","130.192.1.34","TCP","54","64158  >  80 [FIN, ACK] Seq=172 Ack=402 Win=130816 Len=0","511"
"86","5.481248","130.192.1.34","192.168.1.122","TCP","60","80  >  64158 [FIN, ACK] Seq=402 Ack=173 Win=30336 Len=0","237"
"87","5.481546","192.168.1.122","130.192.1.34","TCP","54","64158  >  80 [ACK] Seq=173 Ack=403 Win=130816 Len=0","511"
"88","5.499459","192.168.1.122","130.192.1.34","TCP","54","64159  >  443 [RST, ACK] Seq=735 Ack=14168 Win=0 Len=0","0"
