"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"39","2.191292","192.168.1.122","130.192.1.34","TCP","66","64188  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"40","2.207149","130.192.1.34","192.168.1.122","TCP","66","80  >  64188 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"41","2.207409","192.168.1.122","130.192.1.34","TCP","54","64188  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"42","2.214668","192.168.1.122","130.192.1.34","HTTP","225","GET /~lioy/01nbe/lab2/test10m.dat HTTP/1.1 ","513"
"44","2.232325","130.192.1.34","192.168.1.122","TCP","60","80  >  64188 [ACK] Seq=1 Ack=172 Win=30336 Len=0","237"
"45","2.232325","130.192.1.34","192.168.1.122","HTTP","455","HTTP/1.1 301 Moved Permanently  (text/html)","237"
"46","2.283051","192.168.1.122","130.192.1.34","TCP","54","64188  >  80 [ACK] Seq=172 Ack=402 Win=130816 Len=0","511"
"47","2.329504","192.168.1.122","130.192.1.34","TCP","66","64189  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"48","2.355241","130.192.1.34","192.168.1.122","TCP","66","443  >  64189 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"49","2.355486","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"50","2.362307","192.168.1.122","130.192.1.34","TLSv1.2","462","Client Hello","513"
"51","2.385766","130.192.1.34","192.168.1.122","TCP","60","443  >  64189 [ACK] Seq=1 Ack=409 Win=30336 Len=0","237"
"52","2.388050","130.192.1.34","192.168.1.122","TLSv1.2","1514","Server Hello","237"
"53","2.388050","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=1461 Ack=409 Win=30336 Len=1460 [TCP segment of a reassembled PDU]","237"
"54","2.388050","130.192.1.34","192.168.1.122","TLSv1.2","568","Certificate, Server Key Exchange, Server Hello Done","237"
"55","2.388304","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=409 Ack=3435 Win=131328 Len=0","513"
"56","2.393239","192.168.1.122","130.192.1.34","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","513"
"57","2.417205","130.192.1.34","192.168.1.122","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","237"
"58","2.418256","192.168.1.122","130.192.1.34","TLSv1.2","254","Application Data","513"
"59","2.441339","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=3486 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"60","2.442570","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=4946 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"61","2.442570","130.192.1.34","192.168.1.122","TLSv1.2","1370","Application Data","245"
"62","2.442570","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=7722 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"63","2.442570","130.192.1.34","192.168.1.122","TCP","1514","443  >  64189 [ACK] Seq=9182 Ack=735 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"64","2.442857","192.168.1.122","130.192.1.34","TCP","54","64189  >  443 [ACK] Seq=735 Ack=10642 Win=131328 Len=0","513"
