"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"398","28.167676","192.168.1.122","130.192.1.34","TCP","66","64109  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"399","28.189039","130.192.1.34","192.168.1.122","TCP","66","80  >  64109 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"400","28.189348","192.168.1.122","130.192.1.34","TCP","54","64109  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"401","28.194173","192.168.1.122","130.192.1.34","HTTP","224","GET /~lioy/01nbe/lab2/test1k.dat HTTP/1.1 ","513"
"402","28.215189","130.192.1.34","192.168.1.122","TCP","60","80  >  64109 [ACK] Seq=1 Ack=171 Win=30336 Len=0","237"
"403","28.216062","130.192.1.34","192.168.1.122","HTTP","454","HTTP/1.1 301 Moved Permanently  (text/html)","237"
"404","28.261997","192.168.1.122","130.192.1.34","TCP","54","64109  >  80 [ACK] Seq=171 Ack=401 Win=130816 Len=0","511"
"405","28.311082","192.168.1.122","130.192.1.34","TCP","66","64110  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"406","28.320232","130.192.1.34","192.168.1.122","TCP","66","443  >  64110 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"407","28.320431","192.168.1.122","130.192.1.34","TCP","54","64110  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"408","28.327588","192.168.1.122","130.192.1.34","TLSv1.2","462","Client Hello","513"
"409","28.337079","130.192.1.34","192.168.1.122","TCP","60","443  >  64110 [ACK] Seq=1 Ack=409 Win=30336 Len=0","237"
"410","28.339424","130.192.1.34","192.168.1.122","TLSv1.2","1514","Server Hello","237"
"411","28.339424","130.192.1.34","192.168.1.122","TCP","1514","443  >  64110 [ACK] Seq=1461 Ack=409 Win=30336 Len=1460 [TCP segment of a reassembled PDU]","237"
"412","28.339612","192.168.1.122","130.192.1.34","TCP","54","64110  >  443 [ACK] Seq=409 Ack=2921 Win=131328 Len=0","513"
"413","28.339823","130.192.1.34","192.168.1.122","TLSv1.2","568","Certificate, Server Key Exchange, Server Hello Done","237"
"414","28.350295","192.168.1.122","130.192.1.34","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","511"
"415","28.358996","130.192.1.34","192.168.1.122","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","237"
"416","28.359727","192.168.1.122","130.192.1.34","TLSv1.2","253","Application Data","511"
"417","28.369043","130.192.1.34","192.168.1.122","TLSv1.2","1461","Application Data","245"
"418","28.371806","192.168.1.122","130.192.1.34","TCP","54","64109  >  80 [FIN, ACK] Seq=171 Ack=401 Win=130816 Len=0","511"
"419","28.390985","130.192.1.34","192.168.1.122","TCP","60","80  >  64109 [FIN, ACK] Seq=401 Ack=172 Win=30336 Len=0","237"
"420","28.391354","192.168.1.122","130.192.1.34","TCP","54","64109  >  80 [ACK] Seq=172 Ack=402 Win=130816 Len=0","511"
"421","28.400223","192.168.1.122","130.192.1.34","TCP","54","64110  >  443 [RST, ACK] Seq=734 Ack=4893 Win=0 Len=0","0"
