"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"28","4.590540","192.168.1.122","130.192.1.34","TCP","66","64176  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"29","4.608076","130.192.1.34","192.168.1.122","TCP","66","80  >  64176 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"30","4.608344","192.168.1.122","130.192.1.34","TCP","54","64176  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"31","4.614713","192.168.1.122","130.192.1.34","HTTP","224","GET /~lioy/01nbe/lab2/test1m.dat HTTP/1.1 ","513"
"32","4.638813","130.192.1.34","192.168.1.122","TCP","60","80  >  64176 [ACK] Seq=1 Ack=171 Win=30336 Len=0","237"
"33","4.638813","130.192.1.34","192.168.1.122","HTTP","454","HTTP/1.1 301 Moved Permanently  (text/html)","237"
"34","4.689472","192.168.1.122","130.192.1.34","TCP","66","64177  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","64240"
"35","4.693178","192.168.1.122","130.192.1.34","TCP","54","64176  >  80 [ACK] Seq=171 Ack=401 Win=130816 Len=0","511"
"36","4.708702","130.192.1.34","192.168.1.122","TCP","66","443  >  64177 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128","29200"
"37","4.708978","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0","513"
"38","4.715543","192.168.1.122","130.192.1.34","TLSv1.2","462","Client Hello","513"
"39","4.732904","130.192.1.34","192.168.1.122","TCP","60","443  >  64177 [ACK] Seq=1 Ack=409 Win=30336 Len=0","237"
"40","4.734850","130.192.1.34","192.168.1.122","TLSv1.2","1514","Server Hello","237"
"41","4.734850","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=1461 Ack=409 Win=30336 Len=1460 [TCP segment of a reassembled PDU]","237"
"42","4.735081","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=409 Ack=2921 Win=131328 Len=0","513"
"43","4.735268","130.192.1.34","192.168.1.122","TLSv1.2","568","Certificate, Server Key Exchange, Server Hello Done","237"
"44","4.738162","192.168.1.122","130.192.1.34","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","511"
"45","4.753901","130.192.1.34","192.168.1.122","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","237"
"46","4.754826","192.168.1.122","130.192.1.34","TLSv1.2","253","Application Data","511"
"47","4.772812","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=3486 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"48","4.772812","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=4946 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"49","4.772812","130.192.1.34","192.168.1.122","TLSv1.2","1370","Application Data","245"
"50","4.773045","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=7722 Win=131328 Len=0","513"
"51","4.773395","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=7722 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"52","4.773395","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=9182 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"53","4.773395","130.192.1.34","192.168.1.122","TLSv1.2","1259","Application Data","245"
"54","4.773395","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=11847 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
